,id,original1,edit1,grades1,meanGrade1,original2,edit2,grades2,meanGrade2,label,new1,original11,new2,original22
10,105448-105449,' All hell is breaking loose ' : Massive <fire/> threatens all of Kangaroo Island,Kangaroo,22221,1.8,' All hell is breaking loose ' : Massive <fire/> threatens all of Kangaroo Island,joey,33111,1.8,0,' All hell is breaking loose ' : Massive Kangaroo threatens all of Kangaroo Island,' All hell is breaking loose ' : Massive fire threatens all of Kangaroo Island,' All hell is breaking loose ' : Massive joey threatens all of Kangaroo Island,' All hell is breaking loose ' : Massive fire threatens all of Kangaroo Island
11,105248-105249,' A new focus for us ' : Canada 's building code being modernized to address <climate/> change,Gender,21111,1.2,' A new focus for us ' : Canada 's building code being modernized to address <climate/> change,gender,22110,1.2,0,' A new focus for us ' : Canada 's building code being modernized to address Gender change,' A new focus for us ' : Canada 's building code being modernized to address climate change,' A new focus for us ' : Canada 's building code being modernized to address gender change,' A new focus for us ' : Canada 's building code being modernized to address climate change
12,105266-105265,' Apocalyptic ' : New Zealand shrouded in <smoke/> from Australian bushfires,zombies,22111,1.4,' Apocalyptic ' : New Zealand shrouded in <smoke/> from Australian bushfires,Australians,11100,0.6,1,' Apocalyptic ' : New Zealand shrouded in zombies from Australian bushfires,' Apocalyptic ' : New Zealand shrouded in smoke from Australian bushfires,' Apocalyptic ' : New Zealand shrouded in Australians from Australian bushfires,' Apocalyptic ' : New Zealand shrouded in smoke from Australian bushfires
13,105881-105882,' <Apprentice/> ' contestant 's lawsuit against Trump goes to top New York court,TrumpU,221000,0.8333333333333334,' Apprentice ' contestant 's lawsuit against Trump goes to top New York <court/> ,zoo,32210,1.6,2,' TrumpU ' contestant 's lawsuit against Trump goes to top New York court,' Apprentice ' contestant 's lawsuit against Trump goes to top New York court,' Apprentice ' contestant 's lawsuit against Trump goes to top New York zoo ,' Apprentice ' contestant 's lawsuit against Trump goes to top New York court 
14,101573-101574,"' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody <Owns/> Cinema """,Likes,31100,1.0,"' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody <Owns/> Cinema """,cares,22110,1.2,2,"' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody Likes Cinema ""","' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody Owns Cinema ""","' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody cares Cinema ""","' Avengers ' Directors on Scorsese 's Marvel Criticism : "" Nobody Owns Cinema """
15,107209-107210,' Champion for Educators and Working Class ' : Largest Teachers Union in Nevada Endorses <Bernie Sanders/> ,Elmo,32221,2.0,' Champion for Educators and Working Class ' : Largest <Teachers/> Union in Nevada Endorses Bernie Sanders,stripper,32222,2.2,2,' Champion for Educators and Working Class ' : Largest Teachers Union in Nevada Endorses Elmo ,' Champion for Educators and Working Class ' : Largest Teachers Union in Nevada Endorses Bernie Sanders ,' Champion for Educators and Working Class ' : Largest stripper Union in Nevada Endorses Bernie Sanders,' Champion for Educators and Working Class ' : Largest Teachers Union in Nevada Endorses Bernie Sanders
16,100201-100202,"' Chrisley <Knows/> Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud charges",groans,32211,1.8,"' Chrisley Knows Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud <charges/> ",pumpkin,0,0.0,1,"' Chrisley groans Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud charges","' Chrisley Knows Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud charges","' Chrisley Knows Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud pumpkin ","' Chrisley Knows Best ' star Todd Chrisley , wife Julie indicted on tax evasion and fraud charges "
17,105897-105898,' Completely unsustainable ' : Modern computing is responsible for CO2 emissions on par with the <aviation/> industry,hairspray,21110,1.0,' Completely unsustainable ' : Modern computing is responsible for CO2 <emissions/> on par with the aviation industry,hijacking,20000,0.4,1,' Completely unsustainable ' : Modern computing is responsible for CO2 emissions on par with the hairspray industry,' Completely unsustainable ' : Modern computing is responsible for CO2 emissions on par with the aviation industry,' Completely unsustainable ' : Modern computing is responsible for CO2 hijacking on par with the aviation industry,' Completely unsustainable ' : Modern computing is responsible for CO2 emissions on par with the aviation industry
18,106448-106449,"' Designed by clowns ' : Boeing <employees/> ridicule 737 MAX , regulators in internal messages",jugglers,32210,1.6,"' Designed by clowns ' : Boeing employees ridicule 737 MAX , regulators in internal <messages/>",Massage,31110,1.2,1,"' Designed by clowns ' : Boeing jugglers ridicule 737 MAX , regulators in internal messages","' Designed by clowns ' : Boeing employees ridicule 737 MAX , regulators in internal messages","' Designed by clowns ' : Boeing employees ridicule 737 MAX , regulators in internal Massage","' Designed by clowns ' : Boeing employees ridicule 737 MAX , regulators in internal messages"
19,105757-105758,"' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will Leave <Iraq/> ",playground,22220,1.6,"' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will <Leave/> Iraq",pave,32210,1.6,0,"' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will Leave playground ","' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will Leave Iraq ","' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will pave Iraq","' Did the Iraq War Just End ? ' : In Letter , US-Led Coalition Announces It Will Leave Iraq"
20,108191-108192,' Dolittle ' Is One of the Worst <Movies/> in Years,Names,21111,1.2,' Dolittle ' Is One of the Worst <Movies/> in Years,motivator,11000,0.4,1,' Dolittle ' Is One of the Worst Names in Years,' Dolittle ' Is One of the Worst Movies in Years,' Dolittle ' Is One of the Worst motivator in Years,' Dolittle ' Is One of the Worst Movies in Years
21,106555-106554,' Do Not Sell My Info ' : U.S. retailers <rush/> to comply with California privacy law,dance,211000,0.6666666666666666,' Do Not <Sell/> My Info ' : U.S. retailers rush to comply with California privacy law,Eat,32211,1.8,2,' Do Not Sell My Info ' : U.S. retailers dance to comply with California privacy law,' Do Not Sell My Info ' : U.S. retailers rush to comply with California privacy law,' Do Not Eat My Info ' : U.S. retailers rush to comply with California privacy law,' Do Not Sell My Info ' : U.S. retailers rush to comply with California privacy law
22,106441-106440,' Evangelicals for Trump ' was an awful display by supposed <citizens/> of the Kingdom of God,florists,11000,0.4,' Evangelicals for <Trump/> ' was an awful display by supposed citizens of the Kingdom of God,Tang,21100,0.8,2,' Evangelicals for Trump ' was an awful display by supposed florists of the Kingdom of God,' Evangelicals for Trump ' was an awful display by supposed citizens of the Kingdom of God,' Evangelicals for Tang ' was an awful display by supposed citizens of the Kingdom of God,' Evangelicals for Trump ' was an awful display by supposed citizens of the Kingdom of God
23,105968-105969,' Everyone 's scared ' - <Puerto Rico/> declares emergency after earthquakes,Snapchat,11000,0.4,' Everyone 's scared ' - Puerto Rico declares emergency after <earthquakes/> ,dinner,11110,0.8,2,' Everyone 's scared ' - Snapchat declares emergency after earthquakes,' Everyone 's scared ' - Puerto Rico declares emergency after earthquakes,' Everyone 's scared ' - Puerto Rico declares emergency after dinner ,' Everyone 's scared ' - Puerto Rico declares emergency after earthquakes 
24,106351-106350,' <Get/> out ' : Australians flee again as heat and wind fan huge bushfires,burn,110000,0.3333333333333333,' <Get/> out ' : Australians flee again as heat and wind fan huge bushfires,Buns,222110,1.3333333333333333,2,' burn out ' : Australians flee again as heat and wind fan huge bushfires,' Get out ' : Australians flee again as heat and wind fan huge bushfires,' Buns out ' : Australians flee again as heat and wind fan huge bushfires,' Get out ' : Australians flee again as heat and wind fan huge bushfires
25,104834-104833,' Ghost boat ' with human remains <washes/> up in Japan,haunts,20000,0.4,' Ghost boat ' with human <remains/> washes up in Japan,clowns,22220,1.6,2,' Ghost boat ' with human remains haunts up in Japan,' Ghost boat ' with human remains washes up in Japan,' Ghost boat ' with human clowns washes up in Japan,' Ghost boat ' with human remains washes up in Japan
26,106888-106887,' Holy Grail ' digital effects rewinding the clock for <actors/> ,clocks,30000,0.6,' Holy Grail ' digital effects rewinding the clock for <actors/> ,Galahad,11110,0.8,2,' Holy Grail ' digital effects rewinding the clock for clocks ,' Holy Grail ' digital effects rewinding the clock for actors ,' Holy Grail ' digital effects rewinding the clock for Galahad ,' Holy Grail ' digital effects rewinding the clock for actors 
27,106888-106886,' Holy Grail ' digital effects rewinding the clock for <actors/> ,clocks,30000,0.6,' <Holy Grail/> ' digital effects rewinding the clock for actors,photoshop,21100,0.8,2,' Holy Grail ' digital effects rewinding the clock for clocks ,' Holy Grail ' digital effects rewinding the clock for actors ,' photoshop ' digital effects rewinding the clock for actors,' Holy Grail ' digital effects rewinding the clock for actors
28,106887-106886,' Holy Grail ' digital effects rewinding the clock for <actors/> ,Galahad,11110,0.8,' <Holy Grail/> ' digital effects rewinding the clock for actors,photoshop,21100,0.8,0,' Holy Grail ' digital effects rewinding the clock for Galahad ,' Holy Grail ' digital effects rewinding the clock for actors ,' photoshop ' digital effects rewinding the clock for actors,' Holy Grail ' digital effects rewinding the clock for actors
29,107445-107446,' Huge mistake ' : Senators in both parties rip <impeachment/> press access,forts,21100,0.8,' Huge <mistake/> ' : Senators in both parties rip impeachment press access,chicken,22211,1.6,2,' Huge mistake ' : Senators in both parties rip forts press access,' Huge mistake ' : Senators in both parties rip impeachment press access,' Huge chicken ' : Senators in both parties rip impeachment press access,' Huge mistake ' : Senators in both parties rip impeachment press access
30,100943-100944,"' I 'm sorry , Mom , I 'm <dying/> ' : Last text of woman ' among 39 dead in Essex lorry trailer ' revealed",busy,21000,0.6,"' I 'm sorry , Mom , I 'm dying ' : Last text of woman ' among 39 dead in Essex <lorry/> trailer ' revealed",movie,11100,0.6,0,"' I 'm sorry , Mom , I 'm busy ' : Last text of woman ' among 39 dead in Essex lorry trailer ' revealed","' I 'm sorry , Mom , I 'm dying ' : Last text of woman ' among 39 dead in Essex lorry trailer ' revealed","' I 'm sorry , Mom , I 'm dying ' : Last text of woman ' among 39 dead in Essex movie trailer ' revealed","' I 'm sorry , Mom , I 'm dying ' : Last text of woman ' among 39 dead in Essex lorry trailer ' revealed"
31,100095-100094,' I do n’t think this <president/> has lied ’ : Trump aide denies he ’s ever misled the public,dotard,32110,1.4,' I do n’t think this president has lied ’ : Trump <aide/> denies he ’s ever misled the public,sycophant,21000,0.6,1,' I do n’t think this dotard has lied ’ : Trump aide denies he ’s ever misled the public,' I do n’t think this president has lied ’ : Trump aide denies he ’s ever misled the public,' I do n’t think this president has lied ’ : Trump sycophant denies he ’s ever misled the public,' I do n’t think this president has lied ’ : Trump aide denies he ’s ever misled the public
32,105977-105976,' It 's a spiral now : ' Democrats say they 're not surprised by <Iran/> attack,passing,210000,0.5,' It 's a spiral now : ' <Democrats/> say they 're not surprised by Iran attack,clowns,21000,0.6,2,' It 's a spiral now : ' Democrats say they 're not surprised by passing attack,' It 's a spiral now : ' Democrats say they 're not surprised by Iran attack,' It 's a spiral now : ' clowns say they 're not surprised by Iran attack,' It 's a spiral now : ' Democrats say they 're not surprised by Iran attack
33,100019-100018,' It 's ruined ' : Queen Elizabeth complained that Trump 's <helicopter/> left ' scorch marks ' on the lawn of Buckingham Palace,underwear,32221,2.0,' It 's ruined ' : <Queen Elizabeth/> complained that Trump 's helicopter left ' scorch marks ' on the lawn of Buckingham Palace,Snoopy,10000,0.2,1,' It 's ruined ' : Queen Elizabeth complained that Trump 's underwear left ' scorch marks ' on the lawn of Buckingham Palace,' It 's ruined ' : Queen Elizabeth complained that Trump 's helicopter left ' scorch marks ' on the lawn of Buckingham Palace,' It 's ruined ' : Snoopy complained that Trump 's helicopter left ' scorch marks ' on the lawn of Buckingham Palace,' It 's ruined ' : Queen Elizabeth complained that Trump 's helicopter left ' scorch marks ' on the lawn of Buckingham Palace
34,106559-106558,' It means you 're going to <lose/> ' : Bernie Sanders answers Trump on rise in polls,poo,22110,1.2,' It means you 're going to lose ' : Bernie Sanders answers <Trump/> on rise in polls,dump,11100,0.6,1,' It means you 're going to poo ' : Bernie Sanders answers Trump on rise in polls,' It means you 're going to lose ' : Bernie Sanders answers Trump on rise in polls,' It means you 're going to lose ' : Bernie Sanders answers dump on rise in polls,' It means you 're going to lose ' : Bernie Sanders answers Trump on rise in polls
35,100572-100573,' Jeopardy! ' host Alex Trebek says he 's ' not afraid of <dying/> ',vowels,32211,1.8,' Jeopardy! ' <host/> Alex Trebek says he 's ' not afraid of dying ',star,0,0.0,1,' Jeopardy! ' host Alex Trebek says he 's ' not afraid of vowels ',' Jeopardy! ' host Alex Trebek says he 's ' not afraid of dying ',' Jeopardy! ' star Alex Trebek says he 's ' not afraid of dying ',' Jeopardy! ' host Alex Trebek says he 's ' not afraid of dying '
36,100135-100136,"' Jimmy Kimmel Live ' hit with $ 395,000 <fine/> over emergency tones in skit",bulldozer,22110,1.2,"' Jimmy Kimmel Live ' hit with $ 395,000 fine over emergency tones in <skit/>",brain,32000,1.0,1,"' Jimmy Kimmel Live ' hit with $ 395,000 bulldozer over emergency tones in skit","' Jimmy Kimmel Live ' hit with $ 395,000 fine over emergency tones in skit","' Jimmy Kimmel Live ' hit with $ 395,000 fine over emergency tones in brain","' Jimmy Kimmel Live ' hit with $ 395,000 fine over emergency tones in skit"
37,101702-101703,' Joker ' Sequel in the Works as Todd Phillips Eyes More DC <Origin/> Movies,cashgrab,32111,1.6,' Joker ' Sequel in the <Works/> as Todd Phillips Eyes More DC Origin Movies,garbage,21110,1.0,1,' Joker ' Sequel in the Works as Todd Phillips Eyes More DC cashgrab Movies,' Joker ' Sequel in the Works as Todd Phillips Eyes More DC Origin Movies,' Joker ' Sequel in the garbage as Todd Phillips Eyes More DC Origin Movies,' Joker ' Sequel in the Works as Todd Phillips Eyes More DC Origin Movies
38,100565-100564,' Joker ' shatters box office <records/> with $ 234 million opening despite its controversial depiction of violence,window,21100,0.8,' <Joker/> ' shatters box office records with $ 234 million opening despite its controversial depiction of violence,Frozen,22100,1.0,2,' Joker ' shatters box office window with $ 234 million opening despite its controversial depiction of violence,' Joker ' shatters box office records with $ 234 million opening despite its controversial depiction of violence,' Frozen ' shatters box office records with $ 234 million opening despite its controversial depiction of violence,' Joker ' shatters box office records with $ 234 million opening despite its controversial depiction of violence
39,106144-106145,' My Big Fat <Gypsy/> Wedding ' Twin Brother Stars Found Dead in Apparent Joint Suicide,Greek,21100,0.8,' My Big Fat Gypsy Wedding ' Twin Brother Stars Found Dead in Apparent Joint <Suicide/> ,smoking,3222221110,1.6,2,' My Big Fat Greek Wedding ' Twin Brother Stars Found Dead in Apparent Joint Suicide,' My Big Fat Gypsy Wedding ' Twin Brother Stars Found Dead in Apparent Joint Suicide,' My Big Fat Gypsy Wedding ' Twin Brother Stars Found Dead in Apparent Joint smoking ,' My Big Fat Gypsy Wedding ' Twin Brother Stars Found Dead in Apparent Joint Suicide 
40,101051-101050,' Nearly All ' Counter-Strike Microtransactions Are Being Used for <Money/> Laundering,shoe,0,0.0,' Nearly All ' Counter-Strike Microtransactions Are Being Used for <Money/> Laundering,Clothes,3322222210,1.9,2,' Nearly All ' Counter-Strike Microtransactions Are Being Used for shoe Laundering,' Nearly All ' Counter-Strike Microtransactions Are Being Used for Money Laundering,' Nearly All ' Counter-Strike Microtransactions Are Being Used for Clothes Laundering,' Nearly All ' Counter-Strike Microtransactions Are Being Used for Money Laundering
41,103068-103067,' No sign of <life/> ' on New Zealand volcano island,intelligence,22110,1.2,' No sign of <life/> ' on New Zealand volcano island,Satan,21110,1.0,1,' No sign of intelligence ' on New Zealand volcano island,' No sign of life ' on New Zealand volcano island,' No sign of Satan ' on New Zealand volcano island,' No sign of life ' on New Zealand volcano island
42,103539-103538,' Not my prime minister ' : Protesters <march/> in London against Boris Johnson,hug,21100,0.8,' Not my prime minister ' : Protesters march in <London/> against Boris Johnson,style,11111,1.0,2,' Not my prime minister ' : Protesters hug in London against Boris Johnson,' Not my prime minister ' : Protesters march in London against Boris Johnson,' Not my prime minister ' : Protesters march in style against Boris Johnson,' Not my prime minister ' : Protesters march in London against Boris Johnson
43,107604-107603,' Pence had to <know/> ' : Vice president dragged into Trump impeachment scandal by indicted associate,sleep,21100,0.8,' Pence had to <know/> ' : Vice president dragged into Trump impeachment scandal by indicted associate,pee,22220,1.6,2,' Pence had to sleep ' : Vice president dragged into Trump impeachment scandal by indicted associate,' Pence had to know ' : Vice president dragged into Trump impeachment scandal by indicted associate,' Pence had to pee ' : Vice president dragged into Trump impeachment scandal by indicted associate,' Pence had to know ' : Vice president dragged into Trump impeachment scandal by indicted associate
44,105013-105012,' Remarkable ' high as Scottish <temperature/> record is broken,drinking,22211,1.6,' Remarkable ' high as Scottish <temperature/> record is broken,cannabis,33221,2.2,2,' Remarkable ' high as Scottish drinking record is broken,' Remarkable ' high as Scottish temperature record is broken,' Remarkable ' high as Scottish cannabis record is broken,' Remarkable ' high as Scottish temperature record is broken
45,100334-100335,' Right to repair ' laws for fixable <electronics/> pushed forward after agreement at consumer affairs meeting,husbands,32110,1.4,' Right to repair ' laws for fixable <electronics/> pushed forward after agreement at consumer affairs meeting,millinials,22110,1.2,1,' Right to repair ' laws for fixable husbands pushed forward after agreement at consumer affairs meeting,' Right to repair ' laws for fixable electronics pushed forward after agreement at consumer affairs meeting,' Right to repair ' laws for fixable millinials pushed forward after agreement at consumer affairs meeting,' Right to repair ' laws for fixable electronics pushed forward after agreement at consumer affairs meeting
46,105170-105171,' <Risk/> is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,I,32210,1.6,' <Risk/> is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,Snoop,33222,2.4,2,' I is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,' Risk is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,' Snoop is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks,' Risk is just too high ' : Deputy Premier backs calls to cancel Sydney NYE fireworks
47,104407-104406,' Shameless ' influencers face <backlash/> for promoting Saudi Arabia music festival,acne,22211,1.6,' Shameless ' influencers face backlash for promoting <Saudi Arabia/> music festival,Bieber,33220,2.0,2,' Shameless ' influencers face acne for promoting Saudi Arabia music festival,' Shameless ' influencers face backlash for promoting Saudi Arabia music festival,' Shameless ' influencers face backlash for promoting Bieber music festival,' Shameless ' influencers face backlash for promoting Saudi Arabia music festival
48,106709-106708,' Silence of the <Lambs/> ' Spinoff ' Clarice ' a Go at CBS,Clams,32111,1.6,' Silence of the Lambs ' Spinoff ' Clarice ' a <Go/> at CBS,no,21000,0.6,1,' Silence of the Clams ' Spinoff ' Clarice ' a Go at CBS,' Silence of the Lambs ' Spinoff ' Clarice ' a Go at CBS,' Silence of the Lambs ' Spinoff ' Clarice ' a no at CBS,' Silence of the Lambs ' Spinoff ' Clarice ' a Go at CBS
49,100628-100627,"' <South Park/> ' Scrubbed From Chinese Internet After Critical "" Band in China "" Episode",Destiny,10000,0.2,"' South Park ' Scrubbed From Chinese <Internet/> After Critical "" Band in China "" Episode",prophecies,22210,1.4,2,"' Destiny ' Scrubbed From Chinese Internet After Critical "" Band in China "" Episode","' South Park ' Scrubbed From Chinese Internet After Critical "" Band in China "" Episode","' South Park ' Scrubbed From Chinese prophecies After Critical "" Band in China "" Episode","' South Park ' Scrubbed From Chinese Internet After Critical "" Band in China "" Episode"
50,107349-107348,"' Staggering number ' of human <rights/> activists killed in Colombia , UN reports",romance,21111,1.2,"' Staggering number ' of human <rights/> activists killed in Colombia , UN reports",cat,21110,1.0,1,"' Staggering number ' of human romance activists killed in Colombia , UN reports","' Staggering number ' of human rights activists killed in Colombia , UN reports","' Staggering number ' of human cat activists killed in Colombia , UN reports","' Staggering number ' of human rights activists killed in Colombia , UN reports"
51,105589-105588,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",urine,32100,1.2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",dungeon,21110,1.0,1,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's urine ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's dungeon ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control "
52,105589-105590,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",urine,32100,1.2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free <women/> from singer 's control",insects,22210,1.4,2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's urine ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free insects from singer 's control","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control"
53,105588-105590,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's <control/> ",dungeon,21110,1.0,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free <women/> from singer 's control",insects,22210,1.4,2,"' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's dungeon ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control ","' Surviving R. Kelly , Part II ' : Families , accusers fight to free insects from singer 's control","' Surviving R. Kelly , Part II ' : Families , accusers fight to free women from singer 's control"
54,102000-101998,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,robot,32211,1.8,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm <Processing/> """,Terminating,22110,1.2,1,"' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm robot ""","' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm Processing ""","' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm Terminating ""","' Terminator ' Director Tim Miller Reflects on Box Office Trauma and James Cameron Fights : "" I 'm Processing """
